tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,genres,averageRating,numVotes,sortedTitle
tt1509787,movie,A Bag of Hammers,A Bag of Hammers,0,2011,\N,Comedy Drama,6.6,2833,A Bag of Hammers (2011)
tt5091612,movie,A Bag of Marbles,Un sac de billes,0,2017,\N,Drama War,7.3,4458,A Bag of Marbles (2017)
tt2064713,movie,A Band Called Death,A Band Called Death,0,2012,\N,Biography Documentary Music,7.5,3465,A Band Called Death (2012)
tt0067656,movie,A Bay of Blood,Ecologia del delitto,0,1971,\N,Horror Mystery Thriller,6.6,8850,A Bay of Blood (1971)
tt3224458,movie,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,0,2019,\N,Biography Drama,7.3,46668,A Beautiful Day in the Neighborhood (2019)
tt0268978,movie,A Beautiful Mind,A Beautiful Mind,0,2001,\N,Biography Drama,8.2,822275,A Beautiful Mind (2001)
tt1554091,movie,A Better Life,A Better Life,0,2011,\N,Drama Romance,7.2,15056,A Better Life (2011)
tt0092263,movie,A Better Tomorrow,Ying hung boon sik,0,1986,\N,Action Crime Drama,7.5,19889,A Better Tomorrow (1986)
tt0094357,movie,A Better Tomorrow II,Ying hung boon sik II,0,1987,\N,Action Crime Drama,7.3,8987,A Better Tomorrow II (1987)
tt0060165,movie,A Big Hand for the Little Lady,A Big Hand for the Little Lady,0,1966,\N,Comedy Western,7.3,3758,A Big Hand for the Little Lady (1966)
tt2056771,movie,A Bigger Splash,A Bigger Splash,0,2015,\N,Drama Thriller,6.4,26031,A Bigger Splash (2015)
tt5069074,movie,A Billion Lives,A Billion Lives,0,2016,\N,Documentary,8.6,2753,A Billion Lives (2016)
tt0101049,tvSeries,A Bit of Fry and Laurie,A Bit of Fry and Laurie,0,1987,1995,Comedy,8.3,8813,A Bit of Fry and Laurie (1987–1995)
tt0456912,movie,A Bittersweet Life,Dalkomhan insaeng,0,2005,\N,Action Crime Drama,7.6,34867,A Bittersweet Life (2005)
tt0064107,movie,A Boy Named Charlie Brown,A Boy Named Charlie Brown,0,1969,\N,Animation Comedy Drama,7.3,4299,A Boy Named Charlie Brown (1969)
tt0072730,movie,A Boy and His Dog,A Boy and His Dog,0,1975,\N,Comedy Drama Sci-Fi,6.5,16208,A Boy and His Dog (1975)
tt0385567,tvMovie,A Boyfriend for Christmas,A Boyfriend for Christmas,0,2004,\N,Comedy Drama Family,6.5,2871,A Boyfriend for Christmas (2004– )
tt1280534,movie,A Boyfriend for My Wife,Un novio para mi mujer,0,2008,\N,Comedy Romance,6.7,3178,A Boyfriend for My Wife (2008)
tt2415112,tvMovie,A Bride for Christmas,A Bride for Christmas,0,2012,\N,Comedy Romance,6.6,3221,A Bride for Christmas (2012– )
tt0075784,movie,A Bridge Too Far,A Bridge Too Far,0,1977,\N,Drama History War,7.4,50295,A Bridge Too Far (1977)
tt0103882,movie,A Brief History of Time,A Brief History of Time,0,1991,\N,Biography Documentary,7.3,5084,A Brief History of Time (1991)
tt0101985,movie,A Brighter Summer Day,Gu ling jie shao nian sha ren shi jian,0,1991,\N,Crime Drama Romance,8.4,6943,A Brighter Summer Day (1991)
tt3149038,movie,A Brilliant Young Mind,X+Y,0,2014,\N,Drama Romance,7.1,26638,A Brilliant Young Mind (2014)
tt0106489,movie,A Bronx Tale,A Bronx Tale,0,1993,\N,Crime Drama Romance,7.8,124160,A Bronx Tale (1993)
tt0120623,movie,A Bug's Life,A Bug's Life,0,1998,\N,Adventure Animation Comedy,7.2,260138,A Bug's Life (1998)
tt0061429,movie,A Bullet for the General,Quién sabe?,0,1967,\N,Action Western,7.1,3847,A Bullet for the General (1967)
tt1673702,movie,A Cat in Paris,Une vie de chat,0,2010,\N,Adventure Animation Comedy,6.9,10361,A Cat in Paris (2010)
tt0059026,tvMovie,A Charlie Brown Christmas,A Charlie Brown Christmas,0,1965,\N,Animation Comedy Family,8.3,30260,A Charlie Brown Christmas (1965– )
tt0093978,movie,A Chinese Ghost Story,Sien lui yau wan,0,1987,\N,Action Fantasy Horror,7.5,8522,A Chinese Ghost Story (1987)
tt0100625,movie,A Chinese Ghost Story II,Sien lui yau wan II: Yan gaan dou,0,1990,\N,Action Comedy Fantasy,7.0,3048,A Chinese Ghost Story II (1990)
tt0112778,movie,A Chinese Odyssey Part One: Pandora's Box,Sai yau gei: Yut gwong bou haap,0,1995,\N,Action Adventure Comedy,7.7,5912,A Chinese Odyssey Part One: Pandora's Box (1995)
tt0114996,movie,A Chinese Odyssey Part Two: Cinderella,Sai yau gei: Sin leui kei yun,0,1995,\N,Action Adventure Comedy,8.0,6044,A Chinese Odyssey Part Two: Cinderella (1995)
tt0216621,tvMovie,A Christmas Carol,A Christmas Carol,0,1999,\N,Drama Fantasy,7.4,7968,A Christmas Carol (1999– )
tt1067106,movie,A Christmas Carol,A Christmas Carol,0,2009,\N,Animation Drama Family,6.8,98133,A Christmas Carol (2009)
tt7686464,tvMiniSeries,A Christmas Carol,A Christmas Carol,0,2019,2019,Drama Fantasy,7.2,6933,A Christmas Carol (2019)
tt0087056,tvMovie,A Christmas Carol,A Christmas Carol,0,1984,\N,Drama Family Fantasy,7.8,11721,A Christmas Carol (1984– )
tt0085334,movie,A Christmas Story,A Christmas Story,0,1983,\N,Comedy Family,7.9,127439,A Christmas Story (1983)
tt0993789,movie,A Christmas Tale,Un conte de Noël,0,2008,\N,Comedy Drama,7.0,6486,A Christmas Tale (2008)
tt0096908,movie,A City of Sadness,Beiqíng chéngshì,0,1989,\N,Drama History,7.9,4013,A City of Sadness (1989)
tt0120633,movie,A Civil Action,A Civil Action,0,1998,\N,Drama,6.6,26927,A Civil Action (1998)
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,\N,Crime Drama Sci-Fi,8.3,735612,A Clockwork Orange (1971)
